TotalAmount,CustomerID,Country,CountryRegionCode,Group,PersonID,PersonType,DateFirstPurchase,BirthDate,AGE,MaritalStatus,YearlyIncome,Gender,TotalChildren,Education,Occupation,HomeOwnerFlag,NumberCarsOwned
8248.990000,11000,Australia,AU,Pacific,13531,IN,"2001-07-22 00:00:00.000000","1966-04-08 00:00:00.000000",59,M,75001-100000,M,2,"Bachelors ",Professional,1,0
6383.880000,11001,Australia,AU,Pacific,5454,IN,"2001-07-18 00:00:00.000000","1965-05-14 00:00:00.000000",60,S,50001-75000,M,3,"Bachelors ",Professional,0,1
8114.040000,11002,Australia,AU,Pacific,11269,IN,"2001-07-10 00:00:00.000000","1965-08-12 00:00:00.000000",60,M,50001-75000,M,3,"Bachelors ",Professional,1,1
8139.290000,11003,Australia,AU,Pacific,11358,IN,"2001-07-01 00:00:00.000000","1968-02-15 00:00:00.000000",57,S,50001-75000,F,0,"Bachelors ",Professional,0,1
8196.010000,11004,Australia,AU,Pacific,11901,IN,"2001-07-26 00:00:00.000000","1968-08-08 00:00:00.000000",57,S,75001-100000,F,5,"Bachelors ",Professional,1,4
8121.330000,11005,Australia,AU,Pacific,6990,IN,"2001-07-02 00:00:00.000000","1965-08-05 00:00:00.000000",60,S,50001-75000,M,0,"Bachelors ",Professional,1,1
8119.030000,11006,Australia,AU,Pacific,6229,IN,"2001-07-27 00:00:00.000000","1965-12-06 00:00:00.000000",60,S,50001-75000,F,0,"Bachelors ",Professional,1,1
8211.000000,11007,Australia,AU,Pacific,3878,IN,"2001-07-12 00:00:00.000000","1964-05-09 00:00:00.000000",61,M,50001-75000,M,3,"Bachelors ",Professional,1,2
8106.310000,11008,Australia,AU,Pacific,14673,IN,"2001-07-28 00:00:00.000000","1964-07-07 00:00:00.000000",61,S,50001-75000,F,4,"Bachelors ",Professional,1,3
8091.330000,11009,Australia,AU,Pacific,20229,IN,"2001-07-30 00:00:00.000000","1964-04-01 00:00:00.000000",61,S,50001-75000,M,0,"Bachelors ",Professional,0,1
8088.040000,11010,Australia,AU,Pacific,6377,IN,"2001-07-17 00:00:00.000000","1964-02-06 00:00:00.000000",61,S,50001-75000,F,0,"Bachelors ",Professional,0,1
8133.040000,11011,Australia,AU,Pacific,18258,IN,"2001-07-02 00:00:00.000000","1963-11-04 00:00:00.000000",62,M,50001-75000,M,4,"Bachelors ",Professional,1,4
81.260000,11012,Northwest,US,"North America",11663,IN,"2003-09-17 00:00:00.000000","1968-01-18 00:00:00.000000",58,M,75001-100000,F,2,"Bachelors ",Management,1,2
113.960000,11013,Northwest,US,"North America",13873,IN,"2003-10-15 00:00:00.000000","1968-08-06 00:00:00.000000",57,M,75001-100000,M,2,"Bachelors ",Management,1,3
138.450000,11014,Northwest,US,"North America",2868,IN,"2003-09-24 00:00:00.000000","1968-05-09 00:00:00.000000",57,S,75001-100000,F,3,"Bachelors ",Management,0,3
2500.970000,11015,Southwest,US,"North America",10963,IN,"2003-07-22 00:00:00.000000","1979-02-27 00:00:00.000000",46,S,25001-50000,F,0,"Partial College","Skilled Manual",0,1
2332.280000,11016,Southwest,US,"North America",3800,IN,"2003-08-13 00:00:00.000000","1979-04-28 00:00:00.000000",46,M,25001-50000,M,0,"Partial College","Skilled Manual",1,1
6434.310000,11017,Australia,AU,Pacific,2521,IN,"2001-07-15 00:00:00.000000","1944-06-26 00:00:00.000000",81,S,0-25000,F,4,"High School","Skilled Manual",1,2
6533.280000,11018,Australia,AU,Pacific,7394,IN,"2001-07-20 00:00:00.000000","1944-10-09 00:00:00.000000",81,S,25001-50000,M,2,"Partial College",Clerical,1,2
882.700000,11019,Canada,CA,"North America",5132,IN,"2003-08-16 00:00:00.000000","1978-03-07 00:00:00.000000",47,S,25001-50000,M,0,"High School","Skilled Manual",0,2
2316.970000,11020,Canada,CA,"North America",17128,IN,"2003-07-02 00:00:00.000000","1978-09-20 00:00:00.000000",47,S,25001-50000,M,0,"High School","Skilled Manual",0,2
